2023-11-28 20:20:09 ,navigation,2,PASS,"Navigate test site","" 
2023-11-28 20:20:14 ,login,2,PASS,"Enter empty username and empty password","" 
2023-11-28 20:20:19 ,login,3,PASS,"Enter empty username and correct password","" 
2023-11-28 20:20:23 ,login,4,PASS,"Enter an existing username and empty password","" 
2023-11-28 20:20:28 ,login,5,PASS,"Enter non existing username and empty password","" 
2023-11-28 20:20:32 ,login,6,PASS,"Enter non existing username and password","" 
2023-11-28 20:20:37 ,login,7,PASS,"Enter an existing username but the corresponding password in capital","" 
2023-11-28 20:20:41 ,login,8,PASS,"Enter an existing username and corresponding password both in capital","" 
2023-11-28 20:20:46 ,login,9,PASS,"Enter email with white spaces","" 
2023-11-28 20:20:50 ,login,10,PASS,"Enter password with white spaces","" 
2023-11-28 20:20:55 ,login,11,PASS,"Enter an existing username and correct password with leading white space","" 
2023-11-28 20:20:59 ,login,12,PASS,"Enter an existing username and correct password with trailing white space","" 
2023-11-28 20:21:04 ,login,13,PASS,"Enter an existing username with leading white space and correct password","" 
2023-11-28 20:21:09 ,login,14,PASS,"Enter registered email in invalid format and correct password","" 
